読む	よむ	читать
意図	いと	намерение, замысел
きょろきょろ	きょろきょろ	скитаться
奇遇	きぐう	неожиданная встреча
見開く	みひらく	открыть глаза (на что-л.)
嫌がらせ	いやがらせ	неприятные слова, враждебный выпад
地獄	じごく	ад
引っ張る	ひっぱる	тянуть, тащить, протягивать (веревку)
混雑	こんざつ	суматоха, суета
動き回る	うごきまわる	передвигаться, двигаться, вертеться
問答	もんどう	вопросы и ответы, диалог, дискуссия
全滅	ぜんめつ	полное уничтожение
振り払う	ふりはらう	стряхивать, вытряхивать
今更	いまさら	теперь уже, в этот поздний час
無念	むねん	сожаление, досада
返答	へんとう	ответ
一片	いっぺん	кусок, клочок
列	れつ	ряд, шеренга, очередь
突っ込む	つっこむ	совать, вталкивать, погружать
振動	しんどう	вибрация, колебание
悪意	あくい	злоба, дурной умысел, преднамеренность
銀	ぎん	серебро
確保	かくほ	обеспечение, гарантия, удерживать позиции
たりとも	たりとも	даже, любой
受け流す	うけながす	парировать, отражать
肩書き	かたがき	титул
控える	ひかえる	удерживаться (от чего-л.), записывать, ожидать, иметь перед собой
厄介	やっかい	хлопоты, обременение, иждивение
ぷんぷん	ぷんぷん	сильный запах, состояние злости
怪訝	けげん	недоверчивый, сомневающийся
連中	れんちゅう	группа, компания, труппа
解決	かいけつ	разрешение, улаживание (вопроса)
食い込む	くいこむ	вгрызаться, въедаться, проникать
当てにする	あてにする	рассчитывать на, ожидать что кто-л. сделает
摂る	とる	принимать, усваивать
横腹	よこばら	бок, боковая сторона
精力	せいりょく	энергия, жизненная сила
不謹慎	ふきんしん	неосторожность, опрометчивость
感心	かんしん	восторг, восхищение
葬儀	そうぎ	похороны, погребение
飽きる	あきる	пресыщаться, терять интерес, надоедать
振り向ける	ふりむける	поворачивать, предназначать, направлять
蘇生	そせい	оживание, приход в чувства
何やら	なにやら	что-то, почему-то
当面	とうめん	первоочередный, ближайший, неотложный
擬音	ぎおん	звукоподражание, звуковые эффекты
誇らしい	ほこらしい	гордый, кичливый
会長	かいちょう	председатель, президент
肘	ひじ	локоть
止す	よす	бросать, переставать делать
暖簾	のれん	репутация, доброжелательность, занавеска
産声	うぶごえ	первый крик младенца
完璧	かんぺき	совершенство, идеал
影	かげ	тень, силуэт, отражение
速答	そくとう	немедленный ответ
仰々しい	ぎょうぎょうしい	пышный, преувеличенный, красочный
きっぱり	きっぱり	прямо, открыто, отчетливо
素行	そこう	поведение
奪い合う	うばいあう	бороться
徒歩	とほ	ходьба
顔見知り	かおみしり	знакомство
弱	じゃく	слабость, менее чем
言い出す	いいだす	высказывать, предлагать, выдвигать
微か	かすか	еле заметный, смутный, скудный
割かし	わりかし	относительно, сравнительно, скорее
場違い	ばちがい	неуместный
唐突	とうとつ	внезапно, резко
映る	うつる	отражаться, выходить (снимок), гармонировать
避難	ひなん	бегство от опасности, эвакуация
洋館	ようかん	здание в западном стиле
単語	たんご	слово, простое несоставное слово
大通り	おおどおり	проспект, главная улица
敵同士	てきどうし	взаимные враги
拗れる	こじれる	быть перекрученным, портиться, дуться
うんざり	うんざり	скучный, противный, надоедливый
なのに	なのに	и все же, при том, однако
糠喜び	ぬかよろこび	преждевременная радость
天然	てんねん	природа, спонтанность
住宅地	じゅうたくち	жилой район
さらりと	さらりと	совершенно, легко, без колебаний
口調	くちょう	тон, выражение
取り合う	とりあう	браться друг за друга, драться, считаться с кем-л.
言わば	いわば	так сказать, одним словом
乗り気	のりき	желание, интерес, увлечение
握り拳	にぎりこぶし	сжатый кулак
体良く	ていよく	прилично, грациозно, правдоподобно, тактично
平らげる	たいらげる	"усмирять, подавлять, ""слопать"", ""подчистить"""
外見	がいけん	внешний вид
遠回し	とおまわし	намек, иносказание
無理矢理	むりやり	насильно, против воли
ちゃっかり	ちゃっかり	расчетливый, хитрый, проницательный
そわそわ	そわそわ	нервно, неловко, неспокойно
罰	ばち	наказание, кара
込み入る	こみいる	быть сложным, осложняться, запутываться
羨ましい	うらやましい	завидный, завистливый, завидно
いざ知らず	いざしらず	не знаю как… но, это было бы возможным для… но
突き抜ける	つきぬける	проходить, пробиваться
楽観	らっかん	оптимизм, оптимистический взгляд
野郎	やろう	парень, мужик, сволочь
手ぶら	てぶら	с пустыми руками
無造作	むぞうさ	непринужденный, нецеремонный, небрежный
負担	ふたん	бремя, нагрузка, ответственность
厚かましい	あつかましい	наглый, дерзкий
振舞う	ふるまう	вести себя, принимать, угощать
席外	せきがい	покинуть свое место
臭い	くさい	вонючий, подозрительный, наигранный
転がり込む	ころがりこむ	закатиться, заявиться, привалить
似非	えせ	лже-, псевдо-, квази-
口を滑らす	口をすべらす	проговориться
無闇	むやみ	опрометчивый, неумеренный, лишний
旨く行く	うまくいく	пройти гладко, получиться хорошо, иметь хорошие отношения
押さえる	おさえる	надавить, прикрыть (руками), ухватиться
一重	ひとえ	один слой
不満	ふまん	недовольство, неудовлетворенность
丼	どんぶり	миска, чаша, нашивной карман
深刻	しんこく	серьезный
広げる	ひろげる	расширять, распространять, разворачивать
割る	わる	разделять, ломать, разбавлять
割り箸	わりばし	деревянные палочки для еды
狙う	ねらう	целиться, иметь целью, метить на что-л.
啜る	すする	прихлебывать, потягивать
光一	ぴかいち	нечто выделяющееся на фоне остального
すぐさま	すぐさま	незамедлительно, сразу же
悲劇	ひげき	трагедия
具に	つぶさに	подробно, обстоятельно, снова и снова
病む	やむ	болеть, хворать, страдать
汁	しる	сок, суп, гной
追い出す	おいだす	выгонять, выставлять, увольнять
既に	すでに	уже
言っとくけど	いっとくけど	чтобы ты знал, уверяю тебя
竦める	すくめる	пожимать (плечами), отпрянуть
なりに	なりに	по-своему, в своем стиле
水彩	すいさい	акварель
放課後	ほうかご	после школы
買って出る	かってでる	вызываться добровольно, предлагать себя, брать на себя
夕焼け	ゆうやけ	пылающий багровый закат
早食い	はやぐい	быстрое поедание
肩	かた	плечо
金欠	きんけつ	безденежье
見習う	みならう	изучать на практике, практиковаться, брать пример с
干す	ほす	сушить, осушать
お負けに	おまけに	вдобавок, к тому же
冷める	さめる	остывать, охладевать
呼び戻す	よびもどす	звать обратно, отзывать
呆れる	あきれる	быть шокированным, изумиться
物凄い	ものすごい	жуткий
彷徨う	さまよう	бродить, блуждать, скитаться
覚悟	かくご	готовность, решимость
体質	たいしつ	мед. конституция, предрасположенность к заболеванию
居合わせる	いあわせる	находиться, оказаться (вместе)
少なくとも	すくなくとも	по меньшей мере
医師	いし	врач
いかれる	いかれる	сломаться, сойти с ума
他界	たかい	смерть, иной мир
気が進まない	きがすすまない	отказывающийся, не склонный к
朱色	しゅいろ	красный карминный цвет
境	さかい	граница
染み込む	しみこむ	проникнуть, просочиться, пропитывать
以来	いらい	с тех пор, со времени
連想	れんそう	ассоциация
唐の昔	とうのむかし	давным-давно
不適合	ふてきごう	неподходящий, непригодный вариант
留める	とめる	закреплять, задерживать, оставлять себе
当人	とうにん	данное лицо, данный человек
頻繁	ひんぱん	частый
貫く	つらぬく	пронзать, протыкать, достигать (цели)
奇跡	きせき	чудо
跡取り	あととり	наследник, преемник
火傷	やけど	ожог
生死	せいし	жизнь и смерть
隠れる	かくれる	прятаться, удалиться (от дел, мира), скончаться
新鮮	しんせん	свежий, новый
偶然	ぐうぜん	случайность
倒れ込む	たおれこむ	впадать
接点	せってん	точка касания, контакт
鉄柵	てっさく	железная ограда
謝罪	しゃざい	извинение
厳格	げんかく	строгий
小言	こごと	выговор, замечание, упрек, ворчание
儚い	はかない	преходящий, напрасный, хрупкий, печальный
了承	りょうしょう	согласие, понимание
押し付ける	おしつける	придавливать, заставлять, навязывать, сваливать
切り捨てる	きりすてる	зарубить кого-л., отбрасывать, изгонять
後継者	こうけいしゃ	преемник
外れる	はずれる	соскакивать, не попадать, не удаваться
怯える	おびえる	пугаться
生憎	あいにく	к сожалению, к несчастью
折	おり	складывание, время, случай
館	やかた	имение, дворец, палаты
囲む	かこむ	окружать, брать в кольцо, осаждать
皆無	かいむ	полное отсутствие, ноль
病弱	びょうじゃく	болезненный, хилый, слабый
負い目	おいめ	чувство долга, невыполненное обещание
権利	けんり	юридическое право на что-л.
裏切る	うらぎる	предавать, обманывать, разочаровывать
曰く	いわく	гласит, обстоятельства, прошлое
勝手	かって	собственное удобство, своеволие, порядки
雁字搦め	がんじがらめ	связать по рукам и ногам
足音	あしおと	звуг шагов, шаги, топот
本家	ほんけ	главная линия рода, зачинатель, основоположник
敷地	しきち	территория, площадка, участок
仮令	たとえ	пусть, хотя, если даже
豪華	ごうか	роскошный, пышный, помпезный
当初	とうしょ	в самом начале, сперва
おどおど	おどおど	робко, боязливо, дрожа
不審	ふしん	недоумение, сомнение, странность
静寂	せいじゃく	тишина
数秒	すうびょう	несколько секунд
着込む	きこむ	надевать дополнительную одежду
威圧	いあつ	принуждение, запугивание, давление
仕草	しぐさ	поведение, манера игры, жестикуляции
お手伝いさん	おてつだいさん	прислуга, домашняя работница, горничная
慌しい	あわただしい	взволнованный, растерянный, суетливый
扉	とびら	створчатая дверь
染みる	じみる	с налетом чего-л., выглядеть как
割烹着	かっぽうぎ	кухонный передник
両開き	りょうびらき	двустворчатая (дверь)
力任せに	ちからまかせに	изо всех сил
脅かす	おびやかす	пугать, грозить, угрожать
横切る	よこぎる	пересекать
居間	いま	гостинная, общая комната
異常	いじょう	необыкновенный, ненормальный, экстраординарный
満面	まんめん	все лицо
見覚え	みおぼえ	воспоминание (об увиденном)
気配	けはい	признаки, ощущение чего-л.
訪れる	おとずれる	заходить, навещать, посещать
犯罪	はんざい	преступление
微笑む	ほほえむ	улыбаться
押し開ける	おしあける	взламывать, открывать силой
がちゃり	がちゃり	звон, лязг
何しろ	なにしろ	что ни говори, во всяком случае, как бы там ни было
重苦しい	おもくるしい	тяжелый, обременительный, гнетущий
くるり	くるり	оборот, внезапно
面食らう	めんくらう	смутиться, сконфузиться, растеряться
気の利いた	きのきいた	здравый, разумный, обладающий вкусом
停止	ていし	приостановка, остановка, застой
何一つ	なにひとつ	ни один (с отриц.)
格段	かくだん	особенный, значительный, заметный
内装	ないそう	внутренняя отделка, интерьер
ろく	ろく	хороший, удовлетворительный, стоящий
御苦労様	ごくろうさま	спасибо за ваши труды
じろり	じろり	быстро, бегло
移動	いどう	движение, перемещение
琥珀	こはく	янтарь
厨房	ちゅうぼう	кухня, камбуз
間抜け	まぬけ	болван, тупица, раззиня
付いて行く	ついていく	следовать (по пятам)
化する	かする	превращаться, подвергаться влиянию
漏らす	もらす	выпустить, проявить (чувства), пропустить, выболтать
頭脳	ずのう	мозг, ум, голова
棘	とげ	шип, колкость, язвительность
情けない	なさけない	жалкий, бесчувственный, позорный
丸っ切り	まるっきり	совершенно, абсолютно, нисколько (с отриц.)
おずおず	おずおず	робко, боязливо
良家	りょうか	почтенная семья
成長	せいちょう	рост, расти
見回す	みまわす	оглядывать, окидывать взглядом
目前	もくぜん	на глазах, перед глазами
お世辞	おせじ	комплимент, лесть
とっくに	とっくに	уже давно
眼差し	まなざし	взгляд, выражение глаз
認識	にんしき	сознание, осознаяние, понимание
凛	りん	холод, достоинство
回転	かいてん	вращение, вращательное движение, оборот
訃報	ふほう	известие о смерти
伝	つて	посредник, связи
死亡	しぼう	смерть, кончина
睨む	にらむ	злобно смотреть, коситься, хмуриться
人払い	ひとばらい	очистить помещение от людей, наедине
煩わしい	わずらわしい	обременительный, запутанный, сложный
進言	しんげん	совет, предложение
つべこべ	つべこべ	жалобы, придирки
閉じる	とじる	закрывать, запирать
報せ	しらせ	извещение, уведомление, предвестие
我侭	わがまま	эгоизм, неповиновение, прихоть
信用	しんよう	доверие, репутация, надежность
暴君	ぼうくん	тиран, деспот
溢れかえる	あふれかえる	переполнять, быть переполненным, кишеть
規律	きりつ	дисциплина, порядок, правила
断ち切る	たちきる	прерывать, разрезать
使用人	しようにん	служащий, подручный, потребитель
血筋	ちすじ	кровное родство, узы крови, происхождение
故人	こじん	покойный, усопший, старый друг
体調	たいちょう	физическое состояние
失策	しっさく	ошибка, оплошность, промах
ぶつける	ぶつける	швырять, ударять, стучать, испытывать на ком-л.
繰り出す	くりだす	вытаскивать, выдвигать вперед, расходовать
避ける	さける	избегать, уклоняться, сторониться
死人	しにん	мертвый, убитый, покойник
生き返る	いきかえる	возвращаться к жизни, оживать, приходить в себя
皮肉	ひにく	ирония, сарказм, цинизм
却下	きゃっか	отказ, отклонение
無作法	ぶさほう	невежливый, невоспитанный, грубый
容赦	ようしゃ	пощада, прощение, снисхождение, терпимость
親近感	しんきんかん	родственность, близость
対称	たいしょう	симметрия
傍ら	かたわら	боковая сторона, наряду, одновременно
分かれる	わかれる	разделяться, разветвляться, расставаться
翼	よく	крылья, фланг
一介	いっかい	простой, всего только, всего-навсего
目に見える	めにみえる	быть заметным, отчетливо видным, определенным
畏まりました	かしこまりました	слушаюсь!
受け入れる	うけいれる	принимать, получать, соглашаться
洩らす	もらす	дать вытечь
同様	どうよう	такой же, похожий
不具合	ふぐあい	неудобный
疑わしい	うたがわしい	спорный, сомнительный, подозрительный
逆らう	さからう	идти против
斜め	ななめ	косой, наклонный, диагональный
一礼	いちれい	поклон
お伽	おとぎ	занимать гостей, сказочный
神経	しんけい	нерв, нервы
侍女	じじょ	прислужница, служанка
間取り	まどり	расположение комнат, планировка дома
目配せ	めくばせ	обмен взглядом, подмигивание
面倒	めんどう	беспокойство, затруднение, забота о ком-л.
召使	めしつかい	слуга
せめて	せめて	самое большое, только, не больше чем
待遇	たいぐう	обращение, отношение, обслуживание, плата
胴体	どうたい	корпус, торс, туловище
湧く	わく	возникать, внезапно появляться, бить фонтаном
指摘	してき	указывание, идентификация
指示	しじ	указание, директивы
独り言	ひとりごと	разговор с собой
姉妹	しまい	сестры
勤勉	きんべん	усердие, трудолюбие, прилежание
気が引ける	きがひける	стесняться, стыдиться, не по себе
出立	しゅったつ	отправление, выход, вылет
素人	しろうと	дилетант, новичок, наблюдатель
居候	いそうろう	дармоед, нахлебник, приживала
躾ける	しつける	воспитывать, тренировать, учить манерам
半可	はんか	недостаточность
婚約	こんやく	помолвка, обручение
徹底的	てっていてき	полный, совершенный, исчерпывающий, окончательный
訊ねる	たずねる	спрашивать
逗留	とうりゅう	остановка (в гостинице и т. п.)
見据える	みすえる	уставиться, глазеть, видеть суть, прозревать
結び付く	むすびつく	быть связанным с чем-л.
俗物	ぞくぶつ	обыватель, мещанин, филистер
毛嫌い	けぎらい	неприязнь, антипатия, предубеждение
鑑	かがみ	образец, пример
繰り返す	くりかえす	повторять, делать снова
かと言って	かといって	должен сказать, с другой стороны
突っ立つ	つったつ	торчать, стоять столбом
となると	となると	когда дело касается…
不意打ち	ふいうち	неожиданный удар
断片	だんぺん	обрывок, кусок, фрагмент
釣り上がる	つりあがる	быть подвешенным, приподнятым
宙	ちゅう	небо, воздух
見繕う	みつくろう	выбрать на свое усмотрение
追い遣る	おいやる	гнать, прогонять, отсылать
書庫	しょこ	библиотека, книгохранилище
気が滅入る	きがめいる	пасть духом, быть подавленным
贅沢	ぜいたく	роскошь, расточительство
考え事	かんがえごと	размышления, забота, беспокойство
透き通る	すきとおる	быть прозрачным, просвечивать, виднеться сквозь
躊躇う	ためらう	колебаться, не решаться
正す	ただす	исправлять, выпрямлять, выяснять
譲歩	じょうほ	уступка, компромисс
朧気	おぼろげ	смутный, туманный, зыбкий
口振り	くちぶり	манера говорить, намек
矢	や	стрела
時刻	じこく	время, пора, час
大目に見る	おおめにみる	терпеть, прощать, игнорировать
鮮明	せんめい	ясность, четкость, резкость
意思	いし	намерение, цель
底	そこ	дно, донышно, днище
息が詰まる	いきがつまる	задыхаться, иметь затрудненное дыхание
老朽	ろうきゅう	дряхлость
育つ	そだつ	расти, воспитываться
飛び切り	とびきり	чрезвычайно, исключительно, в высшей степени
改装	かいそう	модернизация, реконструкция, переоборудование
音信	おんしん	переписка, связь, письмо, известие
しっくり	しっくり	точь-в-точь, совершенно
甘やかす	あまやかす	баловать
筆不精	ふでぶしょう	не любить писать письма, быть плохим переписчиком
絞る	しぼる	выжимать, сжимать, фокусировать(ся)
順番	じゅんばん	очередь, порядок, последовательность
戸惑う	とまどう	быть смущенным, сбитым с толку, ошеломленным
如何にも	いかにも	действительно, конечно, как видно
終える	おえる	заканчивать, завершать
瞳孔	どうこう	зрачок
返信	へんしん	ответ (телеграммой, письмом)
放任主義	ほうにんしゅぎ	принцип невмешательства, предоставление самому себе
杞憂	きゆう	безосновательный страх
不通	ふつう	перерыв сообщения
入浴	にゅうよく	купание, ванна
慢性	まんせい	хронический
湯浴み	ゆあみ	принятие ванны
見透かす	みすかす	видеть насквозь, хорошо понимать, предугадывать
不出来	ふでき	плохая работа
封鎖	ふうさ	блокада, замораживание
しょっちゅう	しょっちゅう	всегда, постоянно, часто
盗聴	とうちょう	подслушивание
間違っても	まちがっても	никогда, ни в коем случае
追う	おう	гнать, выгонять, преследовать, гнаться
性に合う	しょうにあう	быть подходящим
強がる	つよがる	притворяться сильным
寄せる	よせる	приближать, собирать, складывать
無様	ぶざま	неприглядный, неловкий, грубый
邪ま	よこしま	злой, скверный, дурной
その割には	そのわりには	вопреки ожиданиям, учитывая все это
強制	きょうせい	принуждение
後遺症	こういしょう	последствия болезни
柔な	やわな	хрупкий, нежный
仕掛ける	しかける	начинать, приступать, устанавливать, вызывать (на бой)
時折	ときおり	иногда, время от времени
露天	ろてん	под открытым небом, на воздухе
しずしず	しずしず	приятная атмосфера
とてもじゃないが	とてもじゃないが	просто (с отр.)
応える	こたえる	отвечать
落胆	らくたん	упадок духа, уныние
非難	ひなん	критика, нападки, упреки
超す	こす	превышать, превосходить
施錠	せじょう	блокировка
余る	あまる	быть в избытке, оставаться, превышать что-л.
特例	とくれい	особый случай, исключение
専用	せんよう	личное пользование
言い振り	いいぶり	манера говорить
伏せる	ふせる	класть лицом вниз, прятать, накрывать
解雇	かいこ	увольнение
気楽	きらく	непринужденный
裏手	うらて	задняя сторона
呼び捨て	よびすて	называние попросту (без суффиксов)
非	ひ	ошибка, несправедливость, неправота
要望	ようぼう	требование, пожелание
用件	ようけん	дело
伝言	でんごん	устное сообщение
がっくり	がっくり	сразу, резко
言い含める	いいふくめる	вводить в курс, включать в пояснения, указывать
一朝一夕	いっちょういっせき	в один день, сразу
雇い主	やといぬし	наниматель, работодатель
門限	もんげん	закрытие ворот, ограничение времени ухода и прихода
用心	ようじん	осторожность, бдительность
堅苦しい	かたくるしい	натянутый, принужденный, формальный
仇	あだ	враг, зло, вред
掻く	かく	чесать, скрести, сгребать
後退	こうたい	движение назад, отступление
ぼりぼり	ぼりぼり	с хрустом, громко чесаться
勢い	いきおい	сила, побуждение, ход событий, неизбежно
近頃	ちかごろ	недавно, в последнее время, теперь
真っ平	まっぴら	ни в коем случае
素振り	そぶり	поведение, манера держать себя
遠吠え	とおぼえ	далекий лай, вой
野犬	やけん	бродячая собака
生粋	きっすい	чистый, настоящий, истинный
塀	へい	ограда, стена
生理	せいり	физиология
稀	まれ	редкий
弱気	よわき	малодушие, слабость, робость
吠える	ほえる	лаять, реветь, выть
鼓膜	こまく	барабанная перепонка
障る	さわる	препятствовать, мешать, вредить
活性化	かっせいか	активизация
獣	けだもの	зверь
肉親	にくしん	кровное родство, кровный родственник
癇	かん	раздражительность, нервозность
無口	むくち	молчаливость, неразговорчивость
稽古	けいこ	занятия, упражнения, изучение
ぼやく	ぼやく	ныть, жаловаться, ворчать
呟く	つぶやく	бормотать, ворчать
厭	いや	неприятный, противный
咆哮	ほうこう	пронзительный крик, рев, вой
ぎょろり	ぎょろり	уставиться, таращить глаза
欠伸	あくび	зевота
羽	はね	перо, крылья
闇夜	やみよ	темная ночь
確かめる	たしかめる	удостоверяться, уточнять
がらりと	がらりと	полностью, окончательно, неожиданно
嫌悪	けんお	ненависть, отвращение, антипатия
喧しい	やかましい	шумный, надоедливый, строгий
心臓	しんぞう	сердце, наглость, дерзость
蒼い	あおい	бледный
寝巻き	ねまき	пижама, ночная рубашка, ночной халат
呼吸	こきゅう	дыхание, умение, сноровка
じっとり	じっとり	сырой, влажный
人影	ひとかげ	человеческая фигура, тень, силуэт
延々	えんえん	постоянно, снова и снова
引き抜く	ひきぬく	вырывать, вытаскивать, отбивать
爛々	らんらん	сверкающий, пылающий
がっしり	がっしり	крепкий, коренастый, массивный
例える	たとえる	уподоблять, прибегать к сравнению
錯覚	さっかく	оптический обман, галлюцинация, иллюзия
羽音	はおと	вибрация, колебание, дребезжание
切り取る	きりとる	обрезать, обрывать, отсекать
体格	たいかく	телосложение, конституция
漸く	ようやく	постепенно, с трудом, в конце концов
小刻み	こきざみ	разрезание на мелкие кусочки
正しく	まさしく	явно, несомненно, точно
尽くす	つくす	использовать до конца, исчерпывать, отдавать все силы
肌	はだ	кожа, голое тело, строение, склад ума
頭上	ずじょう	над головой, наверху
街灯	がいとう	уличный фонарь, уличное освещение
依然として	いぜんとして	по-прежнему, как всегда, все еще
ぽつん	ぽつん	изолированный, одинокий
絡み付く	からみつく	обвиваться, цепляться, приставать
柱	はしら	столб, колонна
脊髄	せきずい	спинной мозг
凶器	きょうき	оружие, орудие убийства
がたつく	がたつく	дрожать, шататься, трястись
長身	ちょうしん	высокая фигура, статуя
理性	りせい	разум
塊	かたまり	ком, куча, глыба, кусок
胃	い	желудок
空ろ	うつろ	пустота, полость, дупло
勿体ない	もったいない	расточительно, не годится, незаслуженно
反動	はんどう	реакция, отскок, отдача
淡々	たんたん	бесцветный, безвкусный, равнодушный
覚醒	かくせい	пробуждение, прозрение
心底	しんそこ	от всего сердца, от души
寝かす	ねかす	укладывать спать, класть на бок
視界	しかい	поле зрения
寝惚ける	ねぼける	быть сонным, не вполне проснуться
顔立ち	かおだち	черты лица
旗	はた	флаг
蟀谷	こめかみ	висок
急所	きゅうしょ	важный пункт, суть, больное место
得	とく	выгода, прибыль
真っ先	まっさき	впереди всех, раньше всех, прежде всего
相俟つ	あいまつ	быть взаимозависимым, идти рука об руку
責務	せきむ	долг, обязанность
運命	うんめい	судьба, участь
靄	もや	туман, дымка, мгла, пасмурность
泥	どろ	грязь, слякоть
新品	しんぴん	новая вещь, новый товар
真新	まっさら	новехонький
贔屓	ひいき	раположение, покровительство, пристрастность
内包する	ないほうする	нести в себе, подразумевать, заключать в себе
刃物	はもの	режущие предметы, ножевые изделия, ножи
逃れる	のがれる	бежать, избежать, уклоняться
手っ取り早い	てっとりはやい	простой и быстрый
彫像	ちょうぞう	резная статуя
行き届く	ゆきとどく	быть внимательным, тщательным, заботливым
袖	そで	рукав
無神経	むしんけい	нечувствительный, безразличный, толстокожий
獰猛	どうもう	свирепый, дикий, кровожадный
そろり	そろり	медленно и спокойно, мягко
ずれる	ずれる	соскальзывать, сползать, соскакивать
思い起こす	おもいおこす	вспоминать
愚痴	ぐち	жалобы, нытье, хныканье
見回り	みまわり	патрулирование
途轍もない	とてつもない	дикий, нелепый, невероятный
優雅	ゆうが	изящный, элегантный, утонченный
嫌味	いやみ	неприятный, колкий, безвкусный
深夜	しんや	глубокая ночь
見合わせる	みあわせる	переглядываться, откладывать, сравнивать
寝相	ねぞう	поза во время сна
番犬	ばんけん	сторожевой пес
窺う	うかがう	наблюдать, подглядывать, выжидать, усматривать
ちょい	ちょい	всего лишь, легко, без труда
結論	けつろん	вывод, заключение
質	しつ	качество, характер, наклонности
底意地	そこいじ	внутреннее чувство, скрытый характер
裸	はだか	голый, обнаженный
零す	こぼす	проливать, рассыпать, жаловаться, ныть
不覚	ふかく	ошибка, недосмотр, неосторожность
ちらり	ちらり	мельком, случайно
未熟者	みじゅくもの	неопытный человек, новичок
伝わる	つたわる	передаваться, распространяться, двигаться вдоль чего-л.
発見	はっけん	открытие, обнаружение
一瞥	いちべつ	(один) взгляд
畳む	たたむ	складывать, запирать, прикончить кого-л.
何ぞ	なんぞ	что-нибудь, какой-нибудь, Вот еще!
不吉	ふきつ	плохой, несчастливый, сулящий зло
恐らく	おそらく	пожалуй, боюсь что
譲る	ゆずる	отдавать, уступать, откладывать
由緒	ゆいしょ	происхождение, родословная
重量	じゅうりょう	вес, тяжесть, большой вес
深々と	ふかぶかと	глубоко-глубоко
血痕	けっこん	следы крови
気遣う	きづかう	беспокоиться, опасаться, тревожиться
がらくた	がらくた	хлам, рухлядь, барахло
おんぼろ	おんぼろ	старый, потертый, обветшалый
好意	こうい	добрые намерения, дружелюбие
要するに	ようするに	одним словом, короче говоря
気に食わない	きにくわない	не нравиться, быть неподходящим, недовольным
相違ない	そういない	без сомнений, определенно, конечно
断言	だんげん	категорическое утверждение
不明	ふめい	неизвестный, непонятный, невежество
使い込む	つかいこむ	растратить, привыкать употреблять, пользоваться долго
収める	おさめる	принимать, собирать, вносить
棒	ぼう	палка, шест, черта
路面	ろめん	дорожное полотно
遺品	いひん	вещи покойного, забытые вещи, лит памятник
粋	すい	квинтэссенция, лучшее, утонченность, деликатность
遺言	ゆいごん	завещание, последняя воля
信条	しんじょう	религиозная доктрина, вера
こくん	こくん	глубокий кивок
手垢	てあか	грязь на руках
中身	なかみ	содержимое, содержание
年代物	ねんだいもの	старинная антикварная вещь
形見	かたみ	память о чем-либо, сувенир
短刀	たんとう	короткий меч, кинжал, стилет
ひそひそ	ひそひそ	тихонько, шепотом
口元	くちもと	рот, губы
効果	こうか	эффект, действие, результат
無秩序	むちつじょ	беспорядок, дезорганизация, хаос
下ろす	おろす	опускать, сгружать
ゆったり	ゆったり	свободно, спокойно, непринужденно
担任	たんにん	выполняемая обязанность, классный руководитель
励む	はげむ	прилагать усилия, быть усердным
醸し出す	かもしだす	вызывать, приводить к, заваривать
腰	こし	поясница, талия, бедра
通勤	つうきん	поездки на работу
小走り	こばしり	быстрая походка, полубег
どっかり	どっかり	глухой стук
癇癪	かんしゃく	раздражительность, вспыльчивость, неуравновешенность
暴れ出す	あばれだす	разбушеваться, разбуяниться
話し込む	はなしこむ	вступать в разговор, долго беседовать
遭う	あう	встречать, сталкиваться, быть застигнутым
どっと	どっと	вдруг, сразу
人通り	ひとどおり	уличное движение
散らばる	ちらばる	валяться где попало, рассеиваться
世間体	せけんてい	приличие, репутация
見境	みさかい	различие, разница
悪友	あくゆう	дурная компания
道順	みちじゅん	маршрут, путь
戦闘	せんとう	сражение, битва, бой
ちらほら	ちらほら	там и сям, сейчас и потом
人込み	ひとごみ	толпа людей
悪癖	あくへき	дурная привычка, порок
駆ける	かける	бежать, скакать
問い質す	といただす	расспрашивать
殴る	なぐる	ударять, бить, колотить
内面	ないめん	внутренняя сторона
振りする	ふりする	прикидываться, делать вид
白い目で見る	しろいめでみる	оказывать холодный прием, смотреть с холодом
下らない	くだらない	вздорный
無防備	むぼうび	незащищенный, необороняемый, неукрепленный
絶妙	ぜつみょう	изумительный, чудный, превосходный
率直	そっちょく	прямой, откровенный, искренний
疑問	ぎもん	вопрос, сомнение
靡く	なびく	гнуться, склоняться, поддаваться, подчиняться
好む	このむ	любить, предпочитать
似通う	にかよう	быть похожим, напоминать, иметь общее
一足先	ひとあしさき	несколько раньше
存在	そんざい	существование, бытие
我乍ら	われながら	даже я сам
漢	おとこ	благородный человек
損する	そんする	терпеть убыток, нести потери
気を抜く	きをぬく	расслаблять внимание, терять фокусировку
阿吽	あうん	начало и конец, два конца, вдох и выдох
単なる	たんなる	простой, явный
気が合う	きがあう	понимать друг друга, сходиться характерами, соглашаться
数名	すうめい	несколько людей
平衡	へいこう	равновесие, баланс
災難	さいなん	несчастье, бедствие
