読む	よむ	читать
口に合う	くちにあう	быть по вкусу
菊	きく	хризантема
画	え	картина
青い	あおい	голубой, зеленый, бледный
女	おんあ	женщина
部屋	へや	комната
高い	たかい	высокий, дорогой
次	つぎ	следующий
立派な	りっぱな	прекрасный, великолепный
新聞	しんぶん	газета
桜	さくら	сакура
良い	いい、よい	хороший
男	おとこ	мужчина
町	まち	город, квартал
窓	まど	окно
箱	はこ	коробка
広い	ひろい	просторный, широкий
綺麗	きれい	красивый, чистый
鉛筆	えんぴつ	карандаш
短い	みじかい	короткий
賑やか	にぎやかな	оживленный, людный
遠い	とおい	далекий, дальний
安い	やすい	дешевый
遅い	おそい	поздний
暗い	くらい	темный
泳ぐ	およぐ	плавать
明るい	あかるい	светлый, ясный, приветливый
水泳	すいえい	плавание
近い	ちかい	близкий
煩い	うるさい	шумный, надоедливый
早い	はやい	ранний, быстрый
狭い	せまい	узкий, тесный
黒い	くろい	черный
小さい	ちいさい	маленький
約束	やくそく	обещание, договоренность
出発	しゅっぱつ	отправление
運動	うんどう	занятие спортом, движение
間に合う	まにあう	успевать
準備	じゅんび	подготовка
…発の	...はつの	отправляющийся в…
思い出す	おもいだす	вспоминать
遅れる	おくれる	опаздывать, задерживаться
水着	みずぎ	купальник
得意	とくい	предмет гордости, конек
荷物	にもつ	багаж, вещи
体を動かす	からだをうごかす	двигаться
随分	ずいぶん	очень, порядком
動かす	うごかす	двигать, приводить в движение
運動会	うんどうかい	спортивные соревнования
遅れてすみません	おくれてすみません	извините за опоздание
行ってしまう	いってしまう	запропаститься
村	むら	деревня
温かい	あたたかい	теплый
石	いし	камень
冷たい	つめたい	холодный
見つかる	みつかる	найтись
映画	えいが	кинофильм
向こう	むこう	место назначения, противоположная сторона
熱い	あつい	горячий
探す	さがす	искать
咲く	さく	цвести
運ぶ	はこぶ	доставлять груз
名所	めいしょ	дотопримечательность
広場	ひろば	площадь
寺	てら	храм
池	いけ	пруд
日が当る	ひがあたる	под солнцем, на солнце
楽しむ	たのしむ	наслаждаться, развлекаться
変化	へんか	изменение, перемена
面する	めんする	быть обращенным к чему-либо
昔	むかし	древность, прошлое
橋	はし	мост
変わる	かわる	меняться
当る	あたる	попадать
有名な	ゆうめいな	знаменитый
見物	けんぶつ	осмотр, экскурсия
人気	にんき	популярность
日	ひ	солнце
石庭	せきてい	сад камней
宜しい	よろしい	хороший
中国	ちゅうごく	Китай
運	うん	судьба, успех, удача
返す	かえす	возвращать
貸す	かす	давать в долг, в аренду
宜しく	よろしく	привет
差し上げる	さしあげる	подносить, предлагать
宜しく言う	よろしくいう	передать привет
誕生日	たんじょうび	день рождения
手作り	てづくり	поделка, сделанное вручную
上げる	あげる	давать, преподносить
絵葉書	えはがき	художественная открытка
呉れる	くれる	давать, дарить (фамильярно)
若い	わかい	молодой
内	うち	домочадцы
集める	あつめる	собирать
捨てる	すてる	бросать, выбрасывать
開ける	あける	открывать
放す	はなす	отпускать, выпускать из рук
置く	おく	класть
使い捨ての	つかいすての	одноразовый
紙	かみ	бумага
開く	あく	быть открытым
描く	かく	рисовать
集まる	あつまる	собираться
付く	つく	быть прикрипленным
飾り	かざり	украшение
会	かい	собрание, встреча
字	じ	знак, буква, число
天使	てんし	ангел
もう少し	もうすこし	еще немного
暑さ	あつさ	жара, зной
光る	ひかる	сверкать, блестеть
悪魔	あくま	демон
残念	ざんねん	сожаление, досада
電気	でんき	электричество
悲しみ	かなしみ	грусть, печаль
閉める	しめる	закрывать
為	ため	польза
閉まる	しまる	быть закрытым
点く	つく	загораться, быть включенным
楽しみにする	たのしみにする	радоваться, предвкушать удовольствие
凧	たこ	воздушный змей
絵本	えほん	книга с картинками
悲しい	かなしい	печальный, грустный
伝える	つたえる	сообщать, передавать
頂く	いただく	получать, пить есть
運転	うんてん	вождение
貰う	もらう	получать, брать
自転車	じてんしゃ	велосипед
送る	おくる	провожать, посылать, отправлять
別れ	わかれ	расставание, разлука
集合	しゅうごう	сбор, встреча
空く	あく	быть свободным, незанятым
苦しい	くるしい	тягостный,
嬉しい	うれしい	радостный
転校	てんこう	смена школы
別れる	わかれる	расставаться
動かし方	うごかしかた	движение
連れる	つれる	брать с собой
卵焼き	たまごやき	яичница
大事	だいじな	важный, серьезный
今度	こんど	следующий раз
思い	おもい	чувство, мысль
心強い	こころづよい	внушающий уверенность, ободряющий
卵	たまご	яйца
変	へんな	странный
頑張る	がんばる	держаться, не сдаваться, быть упорным
体育	たいいく	физкультура
苦手	にがて	слабая сторона, не по силам что-л.
自由	じゆう	свобода
力	ちから	сила
素敵	すてきな	прекрасный, удивительный
熱	ねつ	температура, жар
試験	しけん	экзамен
彼	かれ	он
親友	しんゆう	близкий друг
黒板	こくばん	классная доска
怒る	おこる	сердиться, ругаться
急ぐ	いそぐ	торопиться, спешить
番号	ばんごう	номер
厳しい	きびしい	строгий, суровый
手帳	てちょう	записная книжка
彼女	かのじょ	она
乗り物	のりもの	транспорт
電話帳	でんわちょう	телефонная книга
電子	でんし	электрон
